ID,% of Currently Eligible Vaccinated,Total Currently Eligible
Alaska,38.7,119026
Alabama,10.5,1053476
Arkansas,17.1,648481
Arizona,12.1,1593221
California,13.4,7371938
Colorado,22.8,1050426
Connecticut,18.7,826050
District of Columbia,21.8,146019
Delaware,11.7,229838
Florida,15.4,5335506
Georgia,14.7,1906357
Hawaii,15.5,322054
Iowa,14.2,704083
Idaho,12.3,351484
Illinois,12.5,2636242
Indiana,13.9,1401496
Kansas,13.9,591392
Kentucky,16.3,928310
Louisiana,19.6,968739
Massachusetts,12.6,1646160
Maryland,14.1,1290564
Maine,14.1,351415
Michigan,18.1,2203000
Minnesota,14.6,1208842
Missouri,11.8,1386199
Mississippi,13.4,586930
Montana,16.2,245408
North Carolina,15.4,2144220
North Dakota,25.5,159918
Nebraska,17.9,412749
New Hampshire,16.9,315108
New Jersey,14.4,1948101
New Mexico,22.2,457770
Nevada,13.3,582960
New York,14.5,4595264
Ohio,12.8,2725258
Oklahoma,21.4,805120
Oregon,16.7,914060
Pennsylvania,11.9,3142474
Rhode Island,15.2,251335
South Carolina,12.1,1103041
South Dakota,21.9,200416
Tennessee,18.3,1462177
Texas,19.4,4956911
Utah,21.9,483129
Virginia,14.7,1689922
Vermont,19.9,149439
Washington,15.4,1486127
Wisconsin,13.7,1290136
West Virginia,25.1,455709
Wyoming,15.8,114967
