Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC,Recip_Administered,Census2019_18PlusPop,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K
2021-03-30,US,USA,United States,331996199,Report,189451285,147602345,57064,44459,68858013,75386890,3215657,141785,96044046,28.9,15.1,95699171,37.1,147171488,57014,73394,39960758,73.1,66920982,122349,346366,50229830,50145687,19.4,87321600,95854785,6274900,0,23441371,26756189,3194041,31885,23427826,26685621,3190100,31856,12790681,13599320,850087,11156,53423486,16.1,53335404,20.7,27251245,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,AK,AKA,Alaska,731545,Report,572905,404339,78314,55272,184748,214228,5307,56,247097,33.8,21.4,243025,44.1,398551,72259,103870,66127,72.2,118845,129760,625524,156322,154610,28,263900,292305,16700,0,70401,85912,5182,9,70323,84278,5155,9,32100,22194,569,3,161504,22.1,159765,29,54866,59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,AL,ALA,Alabama,4903185,Report,2722700,1697641,55529,34623,846686,812461,38494,0,1134739,23.1,12.3,1133072,29.7,1695786,44452,71371,532936,62.7,850146,100036,320379,603928,603689,15.8,1279200,1345500,98000,0,303226,300673,39522,29,303198,300462,39513,29,182781,151589,14809,20,643450,13.1,643202,16.9,349199,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,AR,ARA,Arkansas,3017804,Report,1744560,1159108,57809,38409,567744,565634,25486,244,772457,25.6,12.8,770034,33.2,1156567,49903,75273,335436,64,540914,103251,333006,385265,385080,16.6,832500,851760,60300,0,193398,191817,24738,50,193371,191659,24704,50,118143,88429,4424,39,410003,13.6,409784,17.7,211035,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,AS,ASA,American Samoa,55689,Report,43810,29079,78669,52217,6173,22906,0,0,17718,31.8,20.6,17178,39.5,28206,64935,100859,2211,23.4,3733,39432,462765,11456,11126,25.6,12400,30810,600,0,2308,9148,4,0,2307,8819,4,0,611,972,1,0,11460,20.6,11130,25.6,1584,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,AZ,AZA,Arizona,7278717,Report,4153635,3399399,57065,46703,1545419,1807618,44938,1424,2125696,29.2,16.2,2113971,37.5,3382242,59985,73666,933945,71.4,1613607,123305,317403,1177421,1173696,20.8,1871700,2131935,150000,0,527409,649525,43366,487,527333,645876,43320,487,288942,330491,11803,332,1220787,16.8,1217016,21.6,631568,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,BP2,BP2,Bureau of Prisons,0,Report,108010,101891,0,0,40219,61307,365,0,61016,0,0,61016,0,101891,0,0,2595,0,4448,0,0,40292,40292,0,44300,62010,1700,0,15314,24978,364,0,15314,24978,364,0,790,1035,2,0,40656,0,40656,0,1827,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,CA,CAA,California,39512223,Report,23117480,17922091,58507,45358,8434439,9140278,345922,1452,11929476,30.2,14.9,11872329,38.8,17855323,58317,75504,4527172,77.5,7564404,129569,395975,5884993,5875556,19.2,10609400,11724180,783900,0,2713429,3171336,343498,228,2712494,3162835,342773,227,1540002,1441625,47931,146,6228491,15.8,6218329,20.3,3029704,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,CO,COA,Colorado,5758736,Report,3217170,2645306,55866,45936,1275188,1310204,59241,673,1692343,29.4,16.2,1685431,37.5,2637368,58618,71505,651211,77.3,1167660,138609,381900,932990,931963,20.7,1502500,1611870,102800,0,440384,492456,58253,150,440293,491520,58156,150,247141,259737,8194,91,991243,17.2,990119,22,515163,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,CT,CTA,Connecticut,3565287,Report,2322415,1924605,65140,53982,841680,1035739,47049,137,1244384,34.9,18.7,1242436,43.8,1921790,67720,81837,524269,83.2,936456,148586,368495,666175,665430,23.4,1025500,1220115,76800,0,286326,379830,46957,19,286158,379253,46924,19,152788,247407,5569,12,713132,20,712354,25.1,405776,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,DC,DCA,District of Columbia,705749,Report,501985,359065,71128,50877,144962,206523,7580,0,185928,26.3,12.1,185343,32.1,358494,62068,86912,59488,68.1,123382,141261,574728,85132,85110,14.7,214600,269685,17700,0,40700,44416,8218,16,40699,44395,8217,16,23054,16164,694,7,93350,13.2,93327,16.2,39919,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,DD2,DD2,Dept of Defense,0,Report,2448590,1895711,0,0,873725,999920,21667,399,1197277,0,0,1192316,0,1889853,0,0,134315,0,222921,0,0,649943,649220,0,1075400,1291290,81900,0,287419,362524,18752,0,287385,361835,18743,0,27170,56311,1030,0,668695,0,667963,0,84511,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,DE,DEA,Delaware,973764,Report,585465,453447,60124,46566,191981,252607,8800,59,295396,30.3,15,294539,38.2,452343,58731,76015,148655,78.7,245651,130039,309924,146249,146160,19,266100,305565,13800,0,65470,80759,9192,20,65457,80683,9191,20,42679,47995,4881,13,155441,16,155351,20.2,95568,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
