Date,FIPS-Code,StateName,StateAbbr,County,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
2021-07-09,01001,Alabama,AL,Autauga County,25.2,32.6
2021-07-09,01003,Alabama,AL,Baldwin County,30.6,38.8
2021-07-09,01005,Alabama,AL,Barbour County,26.4,32.9
2021-07-09,01007,Alabama,AL,Bibb County,21.8,28.3
2021-07-09,01009,Alabama,AL,Blount County,18.6,23.4
2021-07-09,01011,Alabama,AL,Bullock County,32.8,42.4
2021-07-09,01013,Alabama,AL,Butler County,25.7,33.4
2021-07-09,01015,Alabama,AL,Calhoun County,29.7,36
2021-07-09,01017,Alabama,AL,Chambers County,20.3,24.5
2021-07-09,01019,Alabama,AL,Cherokee County,22.1,26
2021-07-09,01021,Alabama,AL,Chilton County,21.2,26.5
2021-07-09,01023,Alabama,AL,Choctaw County,39.9,50.4
2021-07-09,01025,Alabama,AL,Clarke County,30.3,38.1
2021-07-09,01027,Alabama,AL,Clay County,26.7,34.1
2021-07-09,01029,Alabama,AL,Cleburne County,20.7,24.5
2021-07-09,01031,Alabama,AL,Coffee County,23.6,29.1
2021-07-09,01033,Alabama,AL,Colbert County,33.2,38.9
2021-07-09,01035,Alabama,AL,Conecuh County,26.6,35.6
2021-07-09,01037,Alabama,AL,Coosa County,28.3,33.5
2021-07-09,01039,Alabama,AL,Covington County,22.8,28
2021-07-09,01041,Alabama,AL,Crenshaw County,23.3,28.7
2021-07-09,01043,Alabama,AL,Cullman County,25.7,29.7
2021-07-09,01045,Alabama,AL,Dale County,34.6,39.8
2021-07-09,01047,Alabama,AL,Dallas County,26.9,36.4
2021-07-09,01049,Alabama,AL,DeKalb County,20.3,24.9
2021-07-09,01051,Alabama,AL,Elmore County,28.2,35.6
2021-07-09,01053,Alabama,AL,Escambia County,21.5,28.3
2021-07-09,01055,Alabama,AL,Etowah County,26.2,31.8
2021-07-09,01057,Alabama,AL,Fayette County,23.4,27.5
2021-07-09,01059,Alabama,AL,Franklin County,28.5,34.7
2021-07-09,01061,Alabama,AL,Geneva County,24.8,29.6
2021-07-09,01063,Alabama,AL,Greene County,32.4,42.6
2021-07-09,01065,Alabama,AL,Hale County,40.5,47.6
2021-07-09,01067,Alabama,AL,Henry County,29.7,36.1
2021-07-09,01069,Alabama,AL,Houston County,27.8,33.1
2021-07-09,01071,Alabama,AL,Jackson County,31.1,37.8
2021-07-09,01073,Alabama,AL,Jefferson County,38.9,48.5
2021-07-09,01075,Alabama,AL,Lamar County,29,33.2
2021-07-09,01077,Alabama,AL,Lauderdale County,32.7,39.9
2021-07-09,01079,Alabama,AL,Lawrence County,31.5,36.8
2021-07-09,01081,Alabama,AL,Lee County,28.1,32.5
2021-07-09,01083,Alabama,AL,Limestone County,24.8,28.2
2021-07-09,01085,Alabama,AL,Lowndes County,30.9,42.7
2021-07-09,01087,Alabama,AL,Macon County,31.3,40
2021-07-09,01089,Alabama,AL,Madison County,42.3,50.4
2021-07-09,01091,Alabama,AL,Marengo County,34.3,42.4
2021-07-09,01093,Alabama,AL,Marion County,24,28.1
2021-07-09,01095,Alabama,AL,Marshall County,27.9,33.5
2021-07-09,01097,Alabama,AL,Mobile County,30.2,36.4
2021-07-09,01099,Alabama,AL,Monroe County,26,34
2021-07-09,01101,Alabama,AL,Montgomery County,33.9,43.7
2021-07-09,01103,Alabama,AL,Morgan County,29.8,34.7
2021-07-09,01105,Alabama,AL,Perry County,31.6,39.1
2021-07-09,01107,Alabama,AL,Pickens County,30.5,38.7
2021-07-09,01109,Alabama,AL,Pike County,26.6,32.7
2021-07-09,01111,Alabama,AL,Randolph County,22.9,27.1
2021-07-09,01113,Alabama,AL,Russell County,24.4,30.7
2021-07-09,01117,Alabama,AL,Shelby County,23.4,29.2
2021-07-09,01115,Alabama,AL,St. Clair County,24.9,30.1
2021-07-09,01119,Alabama,AL,Sumter County,32.1,42.5
2021-07-09,01121,Alabama,AL,Talladega County,24,29.1
2021-07-09,01123,Alabama,AL,Tallapoosa County,27.1,31.7
2021-07-09,01125,Alabama,AL,Tuscaloosa County,29.5,34.8
2021-07-09,01127,Alabama,AL,Walker County,30.8,37.2
2021-07-09,01129,Alabama,AL,Washington County,25.9,32.5
2021-07-09,01131,Alabama,AL,Wilcox County,32.9,43.1
2021-07-09,01133,Alabama,AL,Winston County,14.2,17.4
2021-07-09,02013,Alaska,AK,Aleutians East Borough,65.5,70.6
2021-07-09,02016,Alaska,AK,Aleutians West CA,48.7,60
2021-07-09,02020,Alaska,AK,Anchorage Muny,46.3,54.3
2021-07-09,02050,Alaska,AK,Bethel CA,50.3,55
2021-07-09,02060,Alaska,AK,Bristol Bay Borough,84.1,99.9
2021-07-09,02068,Alaska,AK,Denali Borough,41.2,47.4
2021-07-09,02070,Alaska,AK,Dillingham CA,38.9,42.6
2021-07-09,02090,Alaska,AK,Fairbanks North Star Borough,40.2,45.7
2021-07-09,02100,Alaska,AK,Haines Borough,57.9,60.6
2021-07-09,02105,Alaska,AK,Hoonah-Angoon CA,60,64.5
2021-07-09,02110,Alaska,AK,Juneau Cty&Bor,60.1,65.4
2021-07-09,02122,Alaska,AK,Kenai Peninsula Borough,36.4,39.5
2021-07-09,02130,Alaska,AK,Ketchikan Gateway Borough,51.7,55.8
2021-07-09,02150,Alaska,AK,Kodiak Island Borough,49.8,54.3
2021-07-09,02158,Alaska,AK,Kusilvak Census Area,50.1,56.4
2021-07-09,02164,Alaska,AK,Lake and Peninsula Borough,48,54.3
2021-07-09,02170,Alaska,AK,Matanuska-Susitna Borough,27.5,30.6
2021-07-09,02180,Alaska,AK,Nome CA,56.9,59.5
2021-07-09,02185,Alaska,AK,North Slope Borough,29,31.2
2021-07-09,02188,Alaska,AK,Northwest Arctic Borough,43,46.7
2021-07-09,02195,Alaska,AK,Petersburg CA,62.1,64.8
2021-07-09,02198,Alaska,AK,Prince of Wales-Hyder CA,43.6,49.3
2021-07-09,02220,Alaska,AK,Sitka Cty&Bor,61.7,64.4
2021-07-09,02230,Alaska,AK,Skagway Muny,61.4,65.3
2021-07-09,02240,Alaska,AK,Southeast Fairbanks CA,23.1,26.9
2021-07-09,02275,Alaska,AK,Wrangell Cty&Bor,48.4,49.3
2021-07-09,02282,Alaska,AK,Yakutat Cty&Bor,64.1,66.7
