State,Total Doses Delivered,Total Doses Administered,People with 1 Dose per 100k,People Completely Vaccinated per 100k
U.S. Total,"329,843,825","258,595,381","45,800","34,439"
Republic of Palau,24600,20625,72500,50986
Maine,1520230,1276858,57200,44453
Connecticut,4077035,3512139,57300,44367
Vermont,757120,632395,61300,42887
Massachusetts,8068900,6858691,60100,42342
New Mexico,2112295,1927317,52900,41619
Rhode Island,1289815,988104,55000,41216
New Jersey,9490755,7934175,54200,40995
Hawaii,1565860,1386097,58800,40778
South Dakota,910375,731988,45600,39687
New York,20122975,17034051,50100,39486
Wisconsin,5555605,4961248,47200,39331
Maryland,6647830,5221259,51200,38681
Minnesota,5348340,4721950,49400,38341
Iowa,2973685,2564630,45600,38248
Colorado,5861710,4880920,48700,37759
Virginia,8689335,7233201,49600,37204
Nebraska,1851220,1536579,44900,37046
Guam,173470,140972,48700,36906
Delaware,1057915,825352,49100,36866
Alaska,777945,571368,42700,36854
Washington,7942520,6367124,49500,36246
Pennsylvania,13571705,10952811,52600,36121
Michigan,10065270,7688179,44400,35887
Ohio,11024855,8930170,41800,35712
Oregon,4219185,3395077,48100,35222
California,42020680,33109680,51300,34943
Kansas,2826985,2146247,43800,34931
Northern Mariana Islands,72330,43058,41100,34744
Montana,1024695,799489,42100,34733
North Dakota,654800,581749,40100,34707
Kentucky,4092275,3309482,42400,34428
Illinois,12855545,10146731,48800,33835
District of Columbia,918975,655560,51100,33695
New Hampshire,1422785,1148596,57400,33060
Florida,22007995,16431037,44000,32713
North Carolina,10441180,7498381,40500,32539
West Virginia,1682345,1216002,36700,31923
American Samoa,54030,39666,39700,31762
Arizona,7081205,5372605,42300,31631
Nevada,2636770,2209675,41300,31493
Oklahoma,3834415,2786611,39400,31417
Missouri,5508655,4243742,38900,30350
Indiana,5727410,4506166,37900,30215
Texas,27376675,20215285,39700,30209
South Carolina,4728205,3439210,37800,30069
Wyoming,490875,369975,34800,29506
Idaho,1490225,1132383,35000,29056
Louisiana,3754030,2861659,33400,28770
Puerto Rico,3477130,2174111,42500,28498
Arkansas,2677170,1900002,36700,27884
Tennessee,5671770,4346845,35800,27847
Georgia,9921025,6799470,36400,27627
Virgin Islands,68520,65561,33400,27015
Utah,2733780,2263595,40900,26362
Alabama,4277330,2768204,33700,25883
Mississippi,2496365,1655785,32000,25160
Marshall Islands,51300,28404,26500,22209
Federated States of Micronesia,65800,37135,21100,15217
