Date,First Dose Daily Avg,Second Dose Daily Avg
2021-06-21,444054.4285714286,675012.8571428572
2021-06-20,463972.4285714286,755112
2021-06-19,477918.5714285714,791465.1428571428
2021-06-18,504557,840674.8571428572
2021-06-17,492036.4285714286,816809.7142857143
2021-06-16,428446.4285714286,723488.5714285715
2021-06-15,420365.71428571426,701943.7142857143
2021-06-14,417690.71428571426,681008
2021-06-13,429608.85714285716,654859
2021-06-12,445651.5714285714,661982.2857142857
2021-06-11,431844.14285714284,611121.4285714285
2021-06-10,476191.85714285716,648398.7142857143
2021-06-09,474263,632190.8571428572
2021-06-08,463122.14285714284,599021.7142857143
2021-06-07,440468,557052
2021-06-06,442749.85714285716,502946.5714285714
2021-06-05,445015.28571428574,475999.4285714286
2021-06-04,478187.4285714286,504959.14285714284
2021-06-03,481649.28571428574,497110.85714285716
2021-06-02,522789.71428571426,554964.1428571428
2021-06-01,587353,617010.7142857143
2021-05-31,617090.7142857143,626096.2857142857
2021-05-30,632079.7142857143,653984.8571428572
2021-05-29,669464.1428571428,698614.5714285715
2021-05-28,729970.4285714285,744358
2021-05-27,791556.7142857143,799594
2021-05-26,842849.1428571428,828662.5714285715
2021-05-25,858978.1428571428,861157
2021-05-24,868659.8571428572,884251.7142857143
2021-05-23,831974,878207.5714285715
2021-05-22,893346.7142857143,950159
2021-05-21,860926.2857142857,988185
2021-05-20,793369.8571428572,1006056.2857142857
2021-05-19,741235.8571428572,1035510.1428571428
2021-05-18,702442.1428571428,1046250
2021-05-17,715329.1428571428,1092327.142857143
2021-05-16,766951.4285714285,1187534.4285714286
2021-05-15,700266,1205173.4285714286
2021-05-14,690756.1428571428,1242895.7142857143
2021-05-13,737423.7142857143,1332989.857142857
2021-05-12,774774.4285714285,1365659.2857142857
2021-05-11,793377.8571428572,1382382.4285714286
2021-05-10,757452.8571428572,1340781
2021-05-09,724274.8571428572,1275820.2857142857
2021-05-08,725185.2857142857,1240618.142857143
2021-05-07,788853.2857142857,1280712.857142857
2021-05-06,809814.2857142857,1259296.857142857
2021-05-05,838557.7142857143,1273658.4285714286
2021-05-04,877544.8571428572,1296450.142857143
2021-05-03,935438.7142857143,1331234.2857142857
2021-05-02,1009790.2857142857,1387598.7142857143
2021-05-01,1084926.2857142857,1441363.2857142857
2021-04-30,1094242.4285714286,1435135.142857143
2021-04-29,1143219.142857143,1468608
2021-04-28,1178198.857142857,1475080.4285714286
2021-04-27,1212123.142857143,1485520.7142857143
2021-04-26,1235433.5714285714,1485355.857142857
2021-04-25,1247276.2857142857,1482499.142857143
2021-04-24,1307220.7142857143,1494928.142857143
2021-04-23,1355970.4285714286,1483886.142857143
2021-04-22,1424023.2857142857,1497231.4285714286
2021-04-21,1504030,1493055.4285714286
2021-04-20,1567352.142857143,1451346.857142857
2021-04-19,1639019.7142857143,1460492.857142857
2021-04-18,1714949.142857143,1452165.857142857
2021-04-17,1764471.4285714286,1409103.2857142857
2021-04-16,1901008.142857143,1422727.142857143
2021-04-15,1968036.7142857143,1356225.5714285714
2021-04-14,1988807.2857142857,1328708.2857142857
2021-04-13,1999185.142857143,1344488.4285714286
2021-04-12,1904723.142857143,1290180.7142857143
2021-04-11,1861139.7142857143,1261032.4285714286
2021-04-10,1847057.2857142857,1244898.5714285714
2021-04-09,1804468.142857143,1208839.7142857143
2021-04-08,1783042.857142857,1233428.4285714286
2021-04-07,1771777.7142857143,1226843.5714285714
2021-04-06,1751026.857142857,1216862.857142857
2021-04-05,1785666.5714285714,1247915.4285714286
2021-04-04,1797680.142857143,1266487.857142857
2021-04-03,1786535.5714285714,1266270.2857142857
2021-04-02,1749362.4285714286,1220110
2021-04-01,1745955.5714285714,1139927.2857142857
2021-03-31,1731589.142857143,1080225.857142857
2021-03-30,1730507.2857142857,1024048
2021-03-29,1749049.4285714286,994176.7142857143
2021-03-28,1745056.2857142857,952196.4285714285
2021-03-27,1762929.142857143,898962.1428571428
2021-03-26,1761309.142857143,847286.2857142857
2021-03-25,1692558,803238.7142857143
2021-03-24,1686030,789782.2857142857
2021-03-23,1684982.7142857143,797173.4285714285
2021-03-22,1673995.857142857,800867.1428571428
2021-03-21,1661651.2857142857,809590.4285714285
2021-03-20,1497602,734360.7142857143
2021-03-19,1609250.857142857,827315.5714285715
2021-03-18,1632006,836345.2857142857
2021-03-17,1602686.5714285714,826537.1428571428
2021-03-16,1578155.5714285714,812337.4285714285
2021-03-15,1578459.142857143,804257.2857142857
2021-03-14,1558642.857142857,786380
2021-03-13,1646451.7142857143,852902.7142857143
2021-03-12,1488229.7142857143,775462.7142857143
2021-03-11,1433714.857142857,775847.5714285715
2021-03-10,1370795.857142857,784141.2857142857
2021-03-09,1333297.142857143,804685.1428571428
2021-03-08,1324604.857142857,831254.4285714285
2021-03-07,1669930.142857143,1153360.2857142857
2021-03-06,1612065.2857142857,1174434.7142857143
2021-03-05,1472936.2857142857,1156277.142857143
2021-03-04,1355814.4285714286,1130490.857142857
