Geographic_Area_Name,Total_Pop_Estimate,Total_18plus_Pop_Estimate
Alabama,4876250,3779874
Alaska,737068,552674
Arizona,7050299,5414955
Arkansas,2999370,2295102
California,39283497,30261351
Colorado,5610349,4349344
Connecticut,3575074,2831241
Delaware,957248,753564
District of Columbia,692683,568753
Florida,20901636,16719174
Georgia,10403847,7898607
Hawaii,1422094,1117456
Idaho,1717750,1276603
Illinois,12770631,9879105
Indiana,6665703,5093212
Iowa,3139508,2410771
Kansas,2910652,2199582
Kentucky,4449052,3439746
Louisiana,4664362,3561012
Maine,1335492,1082994
Maryland,6018848,4677166
Massachusetts,6850553,5479293
Michigan,9965265,7787387
Minnesota,5563378,4267530
Mississippi,2984418,2270925
Missouri,6104910,4723298
Montana,1050649,822263
Nebraska,1914571,1440464
Nevada,2972382,2291340
New Hampshire,1348124,1088160
New Jersey,8878503,6916982
New Mexico,2092454,1603978
New York,19572319,15463820
North Carolina,10264876,7968262
North Dakota,756717,580973
Ohio,11655397,9050387
Oklahoma,3932870,2975906
Oregon,4129803,3261860
Pennsylvania,12791530,10129139
Rhode Island,1057231,849887
South Carolina,5020806,3918304
South Dakota,870638,656530
Tennessee,6709356,5204436
Texas,28260856,20922411
Utah,3096848,2173265
Vermont,624313,507659
Virginia,8454463,6588764
Washington,7404107,5760561
West Virginia,1817305,1447867
Wisconsin,5790716,4509813
Wyoming,581024,444653
Puerto Rico,3318447,2670101
