Geographic_Area_Name,Total_Pop_Estimate,Total_18plus_Pop_Estimate,postal_code,fips_code
Alabama,4876250,3779874,AL,1
Alaska,737068,552674,AK,2
Arizona,7050299,5414955,AZ,4
Arkansas,2999370,2295102,AR,5
California,39283497,30261351,CA,6
Colorado,5610349,4349344,CO,8
Connecticut,3575074,2831241,CT,9
Delaware,957248,753564,DE,10
District of Columbia,692683,568753,DC,11
Florida,20901636,16719174,FL,12
Georgia,10403847,7898607,GA,13
Hawaii,1422094,1117456,HI,15
Idaho,1717750,1276603,ID,16
Illinois,12770631,9879105,IL,17
Indiana,6665703,5093212,IN,18
Iowa,3139508,2410771,IA,19
Kansas,2910652,2199582,KS,20
Kentucky,4449052,3439746,KY,21
Louisiana,4664362,3561012,LA,22
Maine,1335492,1082994,ME,23
Maryland,6018848,4677166,MD,24
Massachusetts,6850553,5479293,MA,25
Michigan,9965265,7787387,MI,26
Minnesota,5563378,4267530,MN,27
Mississippi,2984418,2270925,MS,28
Missouri,6104910,4723298,MO,29
Montana,1050649,822263,MT,30
Nebraska,1914571,1440464,NE,31
Nevada,2972382,2291340,NV,32
New Hampshire,1348124,1088160,NH,33
New Jersey,8878503,6916982,NJ,34
New Mexico,2092454,1603978,NM,35
New York,19572319,15463820,NY,36
North Carolina,10264876,7968262,NC,37
North Dakota,756717,580973,ND,38
Ohio,11655397,9050387,OH,39
Oklahoma,3932870,2975906,OK,40
Oregon,4129803,3261860,OR,41
Pennsylvania,12791530,10129139,PA,42
Rhode Island,1057231,849887,RI,44
South Carolina,5020806,3918304,SC,45
South Dakota,870638,656530,SD,46
Tennessee,6709356,5204436,TN,47
Texas,28260856,20922411,TX,48
Utah,3096848,2173265,UT,49
Vermont,624313,507659,VT,50
Virginia,8454463,6588764,VA,51
Washington,7404107,5760561,WA,53
West Virginia,1817305,1447867,WV,54
Wisconsin,5790716,4509813,WI,55
Wyoming,581024,444653,WY,56
Puerto Rico,3318447,2670101,PR,72
