State,Total_Population,High_risk_workers_in_healthcare_facilities,Older_adults_in_congregate_or_overcrowded_settings,All_older_adults,Total_of_boxes_above,Estimated overlap,Total_people_to_vaccinate
Alabama,4903185,236199,52564,783832,1072595,22358,1050237
Alaska,731545,33675,9561,78424,121660,3257,118403
Arizona,7278717,353988,96076,1158320,1608384,35975,1572409
Arkansas,3017804,140460,45858,487536,673854,15061,658793
California,39512223,1719848,642269,5315456,7677573,196179,7481394
Colorado,5758736,250061,67104,740635,1057800,25085,1032715
Connecticut,3565287,214802,25849,587580,828231,17384,810847
Delaware,973764,54339,9006,167129,230474,4738,225736
District of Columbia,705749,59236,4932,81712,145880,4486,141394
Florida,21477737,1068437,273195,4064376,5406008,105444,5300564
Georgia,10617423,470455,86652,1352285,1909392,41046,1868346
Hawaii,1415872,64621,27761,245955,338337,7855,330482
Idaho,1787065,81419,19793,253798,355010,7942,347068
Illinois,12671821,654598,109227,1894903,2658728,57088,2601640
Indiana,6732219,348020,66366,996063,1410449,30913,1379536
Iowa,3155070,155849,62600,513312,731761,18506,713255
Kansas,2913314,130540,41162,437777,609479,14080,595399
Kentucky,4467673,211152,47067,691509,949728,19827,929901
Louisiana,4648794,259629,43116,676707,979452,22045,957407
Maine,1344212,79785,12238,259176,351199,6835,344364
Maryland,6045680,320929,51686,875337,1247952,27227,1220725
Massachusetts,6892503,512995,42202,1078224,1633421,31808,1601613
Michigan,9986857,522041,55954,1620944,2198939,41321,2157618
Minnesota,5639632,346359,43513,830112,1219984,28236,1191748
Mississippi,2976149,121927,35424,449478,606829,12497,594332
Missouri,6137428,345014,85371,981692,1412077,31591,1380486
Montana,1068778,49909,14407,183819,248135,5176,242959
Nebraska,1934408,103947,33753,286079,423779,11222,412557
Nevada,3080156,119186,19982,438051,577219,10432,566787
New Hampshire,1359711,76609,11034,227984,315627,6445,309182
New Jersey,8882190,489082,85175,1376863,1951120,43093,1908027
New Mexico,2096829,99743,17071,341512,458326,8723,449603
New York,19453561,1372351,273318,3068689,4714358,125053,4589305
North Carolina,10488084,486101,124344,1570998,2181443,47752,2133691
North Dakota,762062,44967,9528,109909,164404,4050,160354
Ohio,11689100,723397,147702,1892861,2763960,66355,2697605
Oklahoma,3956971,187779,46596,589230,823605,18200,805405
Oregon,4217737,198607,47902,682546,929055,19419,909636
Pennsylvania,12801989,818220,85723,2229861,3133804,64289,3069515
Rhode Island,1059361,69935,10608,174210,254753,5958,248795
South Carolina,5148714,230969,36777,829083,1096829,19804,1077025
South Dakota,884659,54136,16917,136807,207860,4559,203301
Tennessee,6829174,364571,81322,1045213,1491106,33985,1457121
Texas,28995881,1402648,303374,3337805,5043827,126750,4917077
Utah,3205958,130314,27544,320268,478126,11696,466430
Vermont,623989,31120,6159,113549,150828,2847,147981
Virginia,8535519,388227,97153,1230245,1715625,37682,1677943
Washington,7614893,353494,60673,1073499,1487666,31036,1456630
West Virginia,1792147,100883,21431,344719,467033,8784,458249
Wisconsin,5822434,311095,78633,924695,1314423,30702,1283721
Wyoming,578759,21856,6220,87777,115853,2258,113595
